HouseID,Location,HouseType,Bedrooms,Bathrooms,SquareFootage,YearBuilt,Garage,Garden,Basement,NearbySchools,CrimeRate,DistanceToCityCenter,Price
1,Rural,Apartment,3,3,2746,2008,No,Yes,No,5,2.28,7.95,877656.39
2,Suburban,Detached,5,3,4451,1983,Yes,Yes,No,3,5.36,13.19,92050.18
3,Rural,Apartment,3,3,3057,2007,Yes,No,Yes,6,5.33,18.79,302783.38
4,Rural,Townhouse,2,2,1166,1997,Yes,No,No,1,9.28,14.19,889309.74
5,Suburban,Townhouse,1,1,2626,2003,No,No,No,8,1.66,10.76,419305.36
6,Suburban,Detached,5,2,2471,1967,Yes,No,No,4,9.62,21.2,314690.97
7,Rural,Apartment,3,3,3441,1952,No,Yes,No,0,2.95,7.54,309056.92
8,Urban,Apartment,4,1,4053,1973,No,No,Yes,2,9.73,12.3,406634.73
9,Rural,Townhouse,2,2,1011,1950,No,No,Yes,3,5.87,24.46,281764.68
10,Rural,Detached,1,2,749,1955,No,No,No,2,6.87,24.2,53195.15
11,Rural,Apartment,2,3,1388,1968,Yes,Yes,No,5,3.84,0.65,213965.39
12,Rural,Townhouse,4,2,1523,1992,Yes,No,No,5,6.51,13.54,888446.3
13,Suburban,Semi-Detached,1,1,1098,1957,Yes,No,Yes,9,7.4,8.75,121866.17
14,Rural,Detached,4,3,4387,2018,Yes,Yes,Yes,6,1.09,7.63,442351.94
15,Urban,Semi-Detached,2,3,1252,2001,Yes,Yes,Yes,8,1.31,15.11,483663.46
16,Suburban,Detached,3,1,1099,2022,No,No,Yes,9,9.88,11.43,789246.27
17,Urban,Townhouse,2,3,3522,1996,No,Yes,Yes,8,5.12,18.45,289960.48
18,Urban,Apartment,2,2,3030,1977,No,No,No,6,9.42,1.16,344159.7
19,Urban,Apartment,2,2,3383,1995,No,No,Yes,0,7.57,23.21,63562.16
20,Urban,Apartment,5,3,2719,1953,Yes,Yes,Yes,2,4.36,14.41,907689.08
21,Suburban,Detached,4,1,3416,1957,No,Yes,No,4,2.36,17.26,701279.09
22,Suburban,Townhouse,4,2,2564,2010,No,Yes,Yes,9,9.8,15.31,299703.92
23,Urban,Semi-Detached,4,1,2258,1966,No,No,No,5,6.26,24.73,893139.2
24,Urban,Townhouse,5,2,1817,1983,No,Yes,No,5,2.73,24.66,132252.4
25,Suburban,Semi-Detached,3,2,2941,1969,No,No,Yes,4,7.13,15.44,399975.87
26,Suburban,Detached,2,3,2345,2023,No,Yes,Yes,5,1.83,17.26,585417.66
27,Suburban,Detached,3,3,4069,1983,Yes,No,Yes,8,8.81,15.65,530236.09
28,Rural,Semi-Detached,5,1,1742,1992,Yes,No,Yes,0,1.81,8.11,672162.17
29,Rural,Semi-Detached,4,3,733,1959,No,Yes,No,0,3.13,5.22,332715.29
30,Rural,Semi-Detached,2,2,1913,1979,No,Yes,No,8,1.82,10.37,769949.39
31,Urban,Townhouse,1,2,2795,1974,No,No,Yes,7,1.93,17.23,435173.87
32,Rural,Semi-Detached,1,1,2425,2006,No,Yes,No,8,5.71,1.87,169032.33
33,Urban,Detached,3,1,2599,2012,No,Yes,No,6,7.18,13.1,753381.38
34,Urban,Detached,4,2,2562,2020,Yes,Yes,No,9,8.1,10.51,916345.83
35,Rural,Apartment,1,3,3895,1996,Yes,Yes,Yes,5,7.26,13.42,396203.25
36,Urban,Semi-Detached,3,3,940,1952,No,Yes,No,8,4.27,21.58,610170.18
37,Rural,Townhouse,5,1,1635,1995,Yes,Yes,No,1,6.02,1.67,703433.3
38,Rural,Townhouse,3,1,3243,1985,No,Yes,No,3,9.35,19.21,839947.35
39,Suburban,Townhouse,3,2,4443,1975,No,No,Yes,1,4.49,16.84,238093.83
40,Rural,Apartment,3,2,506,1959,Yes,Yes,No,5,3.27,5.49,591479.44
41,Suburban,Detached,2,1,2086,1983,Yes,No,No,0,5.67,18.49,753345.23
42,Rural,Townhouse,3,2,1325,1957,Yes,Yes,No,6,3.68,12.66,239169.87
43,Rural,Detached,3,1,4324,2004,Yes,No,No,6,3.36,12.29,498857.4
